label,Thumb,Index,Middle,Ring,Pinky,ax,ay,az,gx,gy,gz
C,48,34,48,55,12,-2.199004,7.936993,5.041678,-0.009774,-0.002443,0.014661
C,46,34,49,56,13,-2.199004,7.936993,5.041678,-0.009774,-0.002443,0.014661
C,45,34,47,56,12,-2.199004,7.936993,5.041678,-0.009774,-0.002443,0.014661
C,46,34,47,56,12,-2.199004,7.936993,5.041678,-0.009774,-0.002443,0.014661
C,46,35,47,54,12,-2.199004,7.936993,5.041678,-0.009774,-0.002443,0.014661
C,45,34,46,54,11,-2.199004,7.936993,5.041678,-0.009774,-0.002443,0.014661
C,45,34,46,55,10,-2.199004,7.936993,5.041678,-0.009774,-0.002443,0.014661
C,46,33,48,54,12,-2.199004,7.936993,5.041678,-0.009774,-0.002443,0.014661
C,46,34,46,52,13,-2.199004,7.936993,5.041678,-0.009774,-0.002443,0.014661
C,47,34,48,54,13,-2.199004,7.936993,5.041678,-0.009774,-0.002443,0.014661
C,40,34,50,55,19,-2.188236,7.942975,5.260621,-0.084299,0.045204,0.032987
C,41,34,48,56,18,-2.188236,7.942975,5.260621,-0.084299,0.045204,0.032987
C,40,35,48,54,15,-2.188236,7.942975,5.260621,-0.084299,0.045204,0.032987
C,39,34,48,57,18,-2.188236,7.942975,5.260621,-0.084299,0.045204,0.032987
C,40,35,49,54,18,-2.188236,7.942975,5.260621,-0.084299,0.045204,0.032987
C,41,34,50,54,18,-2.188236,7.942975,5.260621,-0.084299,0.045204,0.032987
C,40,35,48,55,18,-2.188236,7.942975,5.260621,-0.084299,0.045204,0.032987
C,41,35,47,53,19,-2.188236,7.942975,5.260621,-0.084299,0.045204,0.032987
C,41,34,48,54,18,-2.188236,7.942975,5.260621,-0.084299,0.045204,0.032987
C,41,35,48,55,20,-2.188236,7.942975,5.260621,-0.084299,0.045204,0.032987
C,40,35,51,60,19,-1.928615,7.551749,5.34078,-0.006109,-0.018326,0.006109
